NAME	Tumor_POU1F1	Neutrophil	Mast	Fibroblast	T_NK_cell	Epithelial	Tumor_NR5A1	Endothelial	MDC	Tumor_TBX19
ADAM15	1	1	1	1	1	1	1	74.4161359587027	1	1
ADAM19	1	99.0730810867859	1	38.7998869516544	1	1	1	1	1	1
ADAM22	1	1	1	1	1	1	65.7613881293462	1	1	49.1818363557
ADAM23	1	48.8765621866062	1	1	1	1	58.1938937600866	1	1	1
ADAM28	1	1	1	1	1	357.561187543171	1	1	91.4575092575264	1
ADAMTS1	1	1	1	488.339437303526	1	1	1	656.446208302063	1	1
ADAMTS2	1	1	1	163.399076078214	1	1	1	1	1	1
ADAMTS4	1	1	1	409.395262999962	1	1	1	366.143280975322	1	1
ADAMTS5	1	1	1	1	1	1	1	52.3284723717273	1	1
ADAMTS9	1	1	61.205184851733	71.3704952721336	1	1	1	60.6821032957807	1	1
ADAMTSL1	61.0695339890483	1	1	1	44.5810006965122	1	35.4182157959972	44.8531505824511	1	1
ADAMTSL2	1	1	1	1	1	1	1	48.7191418449488	1	1
ADAP2	1	1	1	49.9924896322273	1	1	1	1	109.592598423201	1
ADARB1	1	1	1	1	1	1	1	53.7900757012614	1	1
ADAT1	1	1	1	1	33.5765518885682	35.3781882765703	1	1	1	1
ADCK2	32.9409201063524	37.9949292192536	1	1	1	1	1	1	1	1
ADCY1	1	20.2275692263017	1	1	1	1	42.6579428654601	1	1	1
ADCY2	69.1065104353104	44.6049893488718	206.923800397141	1	39.4947968704649	1	34.0446000342539	1	1	39.4842730685997
ADCY6	33.1535997406461	1	1	58.0878888289993	1	1	1	24.5340266263367	1	1
ADCY7	1	1	1	1	1	1	1	1	40.4833404281231	1
ADCY9	1	1	1	44.8468251008224	1	1	1	1	1	1
ADCYAP1R1	1	86.3966026068473	1	1	1	1	91.7406668667964	1	1	1
ADD2	71.2940591934164	1	1	1	49.6619427764568	1	32.7986817535693	1	1	27.5701935244346
ADGRA2	1	1	1	279.991476145009	1	1	1	106.89854754252	1	1
ADGRA3	1	1	1	1	1	58.547476914736	1	1	1	1
ADGRB2	1	1	1	1	1	1	38.7756323638042	1	1	1
ADGRE2	1	1	147.55830791827	1	1	1	1	1	77.9022445613598	1
ADGRE5	1	1	104.555633530142	64.8919620138709	67.8424557998586	1	1	1	47.0325661997847	1
ADGRF5	1	1	1	344.221384735937	1	1	1	663.548021219611	1	1
ADGRG1	1	1	1	1	1	131.042638139909	1	114.116292528788	1	1
ADGRG2	1	1	1	1	1	1	1	1	1	70.8077493705575
ADGRL3	1	1	1	1	1	1	77.0069794850221	1	1	1
ADGRL4	1	1	1	1	1	1	1	389.036203430778	1	1
ADGRV1	1	1	1	1	30.5560863811007	1	1	1	1	53.6316404362547
ADIRF	1	1	1	182.633121686578	1	183.841254136641	1	139.538469758967	1	1
ADPRH	1	1	104.28075725717	1	1	1	1	50.3491624144586	36.2608432647421	1
ADPRHL1	1	1	1	1	1	1	1	1	1	61.7915209201472
ADRA2A	1	45.7467261567512	1	1	1	1	108.429146443738	1	1	1
AEBP1	1	1	1	301.155290249028	1	1	1	33.6405904754555	1	1
